feature,coef_scaled,coef_original,abs_coef_scaled,abs_coef_original
action_collaboration_min,0.02176843228781122,0.29802026365102746,0.02176843228781122,0.29802026365102746
state_avg_code_complexity_last,0.020247860303024365,0.10729703229920459,0.020247860303024365,0.10729703229920459
action_response_latency_last,0.02012767117990984,0.010083552902846479,0.02012767117990984,0.010083552902846479
action_intensity_min,-0.019930333419650406,-0.21300434292248605,0.019930333419650406,0.21300434292248605
state_total_changes_mean,-0.01834537451325922,-3.089714796140036e-05,0.01834537451325922,3.089714796140036e-05
action_complexity_last,0.018293806492292817,0.0987788902295091,0.018293806492292817,0.0987788902295091
state_avg_files_per_change_last,0.018119813695273306,0.0032995545135990115,0.018119813695273306,0.0032995545135990115
state_review_participation_rate_last,-0.01585165253660191,-0.08441215177972519,0.01585165253660191,0.08441215177972519
state_specialization_score_min,0.01279761396011815,0.1733966161795713,0.01279761396011815,0.1733966161795713
state_experience_days_last,0.012215733965387507,1.3999367139931101e-05,0.012215733965387507,1.3999367139931101e-05
state_experience_normalized_last,0.012215683496167862,0.7987320713254085,0.012215683496167862,0.7987320713254085
state_unique_collaborators_max,0.012096466755999041,0.129860713653768,0.012096466755999041,0.129860713653768
action_files_count_last,-0.011589221949328776,-0.006594185248864505,0.011589221949328776,0.006594185248864505
state_avg_review_depth_min,-0.011302106260369982,-0.20472473182827686,0.011302106260369982,0.20472473182827686
state_review_participation_rate_min,0.010243679772797457,0.13756510933805371,0.010243679772797457,0.13756510933805371
state_avg_directory_depth_mean,0.010220111586941472,0.19558056752958194,0.010220111586941472,0.19558056752958194
action_files_count_trend,-0.007773259210138281,-0.0031069743264921994,0.007773259210138281,0.0031069743264921994
state_review_load_30d_mean,-0.006815295211973427,-0.003670326868794534,0.006815295211973427,0.003670326868794534
state_total_files_touched_max,0.0060029682540714375,1.3087243924145568e-05,0.0060029682540714375,1.3087243924145568e-05
state_review_response_time_min,-0.0024732206667256993,-0.0023097116633347256,0.0024732206667256993,0.0023097116633347256
state_review_load_30d_max,0.0016873830021907083,0.00022008582403981942,0.0016873830021907083,0.00022008582403981942
action_quality_min,-0.0014291314862463081,-0.014398292194983741,0.0014291314862463081,0.014398292194983741
state_code_churn_7d_last,0.0013626045950891072,7.78453399847895e-07,0.0013626045950891072,7.78453399847895e-07
state_file_type_diversity_mean,-0.00041263345131825797,-0.008536044050392476,0.00041263345131825797,0.008536044050392476
state_avg_directory_depth_trend,-0.00020167519295248245,-0.0007264171431982015,0.00020167519295248245,0.0007264171431982015
action_action_type_mean,0.0,0.0,0.0,0.0
action_action_type_trend,0.0,0.0,0.0,0.0
action_action_type_last,0.0,0.0,0.0,0.0
action_action_type_min,0.0,0.0,0.0,0.0
action_action_type_max,0.0,0.0,0.0,0.0
